User,Weight-based,Calisthenics,Low-impact,Yoga,Pilates,Barre,Mobility,Flexibility,Core,Road Running ,Treadmill Running,Track Running,HIIT,Circuit,CrossFit,Cycling,Skipping,Swimming,Elliptical ,Rowing ,Stair Climb
0,0.9,0.8,0.6,0.1,0.2,0.3,0.4,0.2,0.3,0.6,0.6,0.7,0.8,0.8,0.7,0.7,0.7,0.6,0.9,0.9,0.8
1,0.9,0.8,0.7,0.1,0.2,0.4,0.3,0.3,0.3,0.5,0.5,0.7,0.8,0.8,0.7,0.8,0.7,0.5,0.8,0.9,0.9
2,0.9,0.8,0.7,0.1,0.5,0.5,0.3,0.2,0.4,0.5,0.5,0.7,0.6,0.8,0.7,0.8,0.5,0.5,0.9,0.9,0.9
3,0.9,0.7,0.6,0.4,0.3,0.4,0.4,0.2,0.3,0.6,0.6,0.7,0.9,0.7,0.7,0.8,0.7,0.6,0.9,0.8,0.6
4,0.9,0.9,0.7,0.1,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.7,0.8,0.7,0.7,0.7,0.5,0.6,0.9,0.9
5,0.9,0.8,0.6,0.1,0.2,0.3,0.3,0.4,0.3,0.6,0.6,0.7,0.9,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.6
6,0.9,0.7,0.6,0.4,0.5,0.3,0.4,0.2,0.3,0.5,0.5,0.7,0.6,0.7,0.7,0.8,0.5,0.6,0.9,0.9,0.9
7,0.9,0.9,0.7,0.4,0.2,0.5,0.4,0.4,0.5,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.7,0.6,0.9,0.9,0.9
8,0.9,0.7,0.6,0.4,0.2,0.3,0.4,0.2,0.3,0.5,0.5,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.9,0.9,0.9
9,0.9,0.9,0.7,0.4,0.2,0.5,0.3,0.4,0.5,0.5,0.5,0.7,0.8,0.8,0.7,0.8,0.7,0.6,0.9,0.9,0.9
10,0.9,0.8,0.6,0.1,0.3,0.3,0.3,0.2,0.3,0.5,0.5,0.7,0.6,0.8,0.7,0.7,0.5,0.6,0.9,0.9,0.9
11,0.9,0.7,0.6,0.4,0.2,0.4,0.4,0.2,0.3,0.6,0.6,0.7,0.9,0.7,0.7,0.8,0.7,0.6,0.9,0.9,0.6
12,0.9,0.9,0.7,0.4,0.3,0.4,0.3,0.3,0.5,0.5,0.5,0.7,0.6,0.8,0.7,0.8,0.7,0.6,0.9,0.9,0.9
13,0.9,0.7,0.6,0.1,0.3,0.4,0.3,0.2,0.3,0.5,0.5,0.7,0.8,0.7,0.7,0.8,0.6,0.5,0.8,0.6,0.9
14,0.9,0.8,0.6,0.1,0.2,0.4,0.3,0.4,0.3,0.5,0.5,0.7,0.9,0.8,0.7,0.7,0.7,0.5,0.6,0.5,0.7
15,0.9,0.8,0.6,0.1,0.2,0.4,0.3,0.2,0.3,0.5,0.5,0.7,0.7,0.8,0.7,0.7,0.6,0.5,0.8,0.9,0.9
